Chart of account,P&L Classification
31101024 - Sales - IRSAA,Revenue
31101007 - Revenue - ITBS ايرادات - حلول الاعمال التكنولوجية - IRSAA,Revenue
31101013 - Revenue - Project ايرادات - المشاريع - IRSAA,Revenue
31101002 - Revenue - Internal Audit ايرادات - المراجعة الداخليه - IRSAA,Revenue
31101010 - Revenue - VAT ايرادات - خدمات ضريبة القيمة المضافه - IRSAA,Revenue
31101009 - Revenue - Accounting Services ايرادات - الخدمات المحاسبية - IRSAA,Revenue
31101017 - Revenue - Crayotech JV ايرادات - كريوتيك - IRSAA,Revenue
31101020 - Revenue - IRSAA IT ايرادات - تكنولوجيا المعلومات لارساء - IRSAA,Revenue
31101005 - Revenue - HR Managed Services ايرادات - خدمات ادارة الموارد البشريه - IRSAA,Revenue
31101016 - Revenue - NII JV ايرادات - ان اي اي - IRSAA,Revenue
31101023 - Revenue - Kafaa - IRSAA,Revenue
31101028 - Revenue - Fixed Assets - IRSAA,Revenue
31101027 - Revenue - ALPHA X ERP - IRSAA,Revenue
31101029 - Revenue - ALPHA X FAM - IRSAA,Revenue
42101001 - OP - Basic Salary مصاريف تشغيلية - الراتب الأساسي - IRSAA,Total Employee Cost
42102001 - OP - Change of Sponsorship مصاريف تشغيلية - نقل الكفاله - IRSAA,Total Employee Cost
42102003 - OP - Exit-Re-Entry Visa مصاريف تشغيلية - رسوم الخروج والعودة - IRSAA,Total Employee Cost
42102002 - OP - Iqama Renewal مصاريف تشغيلية - تجديد الاقامات - IRSAA,Total Employee Cost
42101002 - OP - Housing Allowance مصاريف تشغيلية - بدل السكن - IRSAA,Total Employee Cost
42101003 - OP - Transportation Allowance مصاريف تشغيلية - بدل التنقل - IRSAA,Total Employee Cost
42101009 - OP - GOSI مصاريف تشغيلية - تأمينات اجتماعية - IRSAA,Total Employee Cost
42101004 - OP - Other Allowance مصاريف تشغيلية - بدلات أخرى - IRSAA,Total Employee Cost
42101012 - OP - Medical Insurance مصاريف تشغيلية - تأمين طبي - IRSAA,Total Employee Cost
42102005 - OP - Vacation Tickets مصاريف تشغيلية - بدل تذاكر السفر - IRSAA,Total Employee Cost
42102004 - OP - Vacation - Salary مصاريف تشغيلية - بدل الاجازات - IRSAA,Total Employee Cost
42102006 - OP - End Of Service Benefits مصاريف تشغيلية - مكافأة نهاية الخدمة - IRSAA,Total Employee Cost
42101015 - Op - AssignmentIncentive - IRSAA,Total Employee Cost
42101014 - OP - KPI مصاريف تشغيلية - تقييم الأداء - IRSAA,Total Employee Cost
42102008 - OP - Visa Issuance fee - IRSAA,Total Employee Cost
42101011 - OP - Other Income مصاريف تشغيلية - ايرادات أخرى - IRSAA,Total Employee Cost
42101006 - OP - Overtime مصاريف تشغيلية - عمل اضافي - IRSAA,Total Employee Cost
42301001 - Bank Charges مصاريف العمولات البنكية - IRSAA,Bank Charges
